University,Department,Year,Enrollment,Graduation Rate (%),Dropout Rate (%),Funding Allocation (ZAR),Average GPA
University of Pretoria,Engineering,2020,846,76.73,14.02,3146534,3.04
Rhodes University,Law,2024,561,94.1,28.25,13121161,3.73
University of KwaZulu-Natal,Education,2017,1529,65.1,19.56,17020505,2.94
University of KwaZulu-Natal,Engineering,2018,2161,62.73,24.46,18375039,2.13
Stellenbosch University,Health Science,2021,2221,53.45,8.59,9761416,3.62
University of Pretoria,Education,2019,2989,77.63,12.93,3644470,2.9
University of Pretoria,Humanities,2020,407,61.27,14.91,19726819,3.75
University of Johannesburg,Education,2022,1564,68.02,23.55,9614535,3.33
University of Pretoria,Engineering,2018,899,65.92,24.56,2827687,2.77
Rhodes University,Engineering,2023,1516,66.4,21.78,14938276,2.15
University of Cape Town,Law,2022,465,53.65,19.8,11271057,3.73
University of Johannesburg,Education,2024,962,72.94,28.43,8127793,2.74
University of Cape Town,Law,2016,889,55.38,9.84,17231566,2.28
Rhodes University,Health Science,2017,2042,52.38,13.05,11652382,2.97
University of Johannesburg,Health Science,2024,953,62.9,29.65,5703583,2.25
University of Johannesburg,Engineering,2020,2840,70.05,26.63,12438892,3.18
Rhodes University,Humanities,2024,2258,94.26,13.99,18402206,3.24
University of KwaZulu-Natal,Education,2021,344,72.86,6.73,5448195,3.06
Wits University,Engineering,2015,114,74.83,13.21,16566653,3.12
Wits University,Education,2020,560,50.96,14.67,6666304,2.84
University of KwaZulu-Natal,Education,2018,2509,92.54,8.03,6787671,3.43
University of Johannesburg,Engineering,2022,1582,61.06,23.29,2633940,2.07
University of KwaZulu-Natal,Humanities,2023,2630,74.47,19.6,16701644,2.19
University of Johannesburg,Health Science,2018,2329,73.61,16.42,11268589,2.79
Rhodes University,Humanities,2024,2722,89.52,11.31,18972663,3.24
Wits University,Humanities,2015,1350,82.29,7.86,6830494,2.67
University of Cape Town,Health Science,2015,1695,69.11,28.24,3825130,2.27
University of KwaZulu-Natal,Law,2019,2381,61.64,16.41,14092479,3.22
Wits University,Engineering,2015,1541,53.77,19.89,7146010,2.73
University of Johannesburg,Education,2020,2243,90.96,26.53,14438669,2.13
Stellenbosch University,Health Science,2016,2403,68.38,23.9,6357044,2.2
University of KwaZulu-Natal,Engineering,2015,2652,88.12,6.39,4620972,2.25
University of Pretoria,Education,2020,2168,65.38,24.7,18195924,2.11
University of Pretoria,Education,2017,1178,54.75,28.9,15408871,3.35
University of KwaZulu-Natal,Law,2022,2539,52.47,8.95,13421875,3.99
Stellenbosch University,Humanities,2021,1622,62.98,17.51,3150640,2.69
University of Johannesburg,Education,2017,2847,68.11,16.6,10395632,2.23
University of Johannesburg,Law,2019,2000,76.49,21.1,9591297,3.48
University of Johannesburg,Engineering,2017,1231,58.0,28.84,4378735,3.62
Stellenbosch University,Health Science,2016,316,91.96,25.55,2254065,2.21
University of Cape Town,Health Science,2021,1301,84.3,14.06,9630413,2.68
Stellenbosch University,Education,2016,1954,69.35,28.49,2051705,2.96
University of Pretoria,Health Science,2015,2113,69.78,10.76,13355366,3.71
Rhodes University,Law,2023,2183,92.33,27.9,5111536,3.64
University of Cape Town,Health Science,2015,1216,61.45,8.11,15304066,2.11
Stellenbosch University,Health Science,2019,1610,88.46,10.21,3254863,2.99
University of Cape Town,Health Science,2017,1111,56.72,26.45,15063800,3.87
University of Pretoria,Law,2017,1394,86.16,14.57,18671657,3.51
Wits University,Health Science,2023,1688,83.9,14.32,1392948,3.22
Stellenbosch University,Humanities,2015,1124,80.44,20.67,15924983,2.39
University of KwaZulu-Natal,Humanities,2019,2293,59.73,25.9,16935357,3.77
University of Pretoria,Humanities,2024,2571,81.68,28.72,13030197,2.24
University of KwaZulu-Natal,Engineering,2015,1003,81.95,23.4,8830183,2.79
University of KwaZulu-Natal,Law,2018,1314,61.81,9.66,1930693,2.31
University of Pretoria,Humanities,2018,2310,77.15,27.4,10238796,3.02
Stellenbosch University,Law,2016,2623,53.63,11.23,7188018,3.26
University of Pretoria,Health Science,2023,1832,83.24,7.22,13702815,2.54
Stellenbosch University,Humanities,2016,1067,51.45,18.56,3738982,3.18
Wits University,Law,2021,162,83.86,18.95,18237568,2.59
University of Cape Town,Health Science,2023,1295,64.33,25.42,9238208,3.31
Stellenbosch University,Engineering,2018,660,93.05,11.68,1793591,2.12
University of Pretoria,Engineering,2015,1276,60.26,26.68,12682409,2.29
University of Cape Town,Law,2023,2183,77.67,7.21,10098758,2.89
University of KwaZulu-Natal,Law,2021,1207,90.53,28.9,15242884,2.77
Rhodes University,Education,2015,1995,84.64,28.72,4803525,3.55
Wits University,Health Science,2020,1824,60.34,14.48,5477689,2.03
Rhodes University,Humanities,2023,2970,63.37,20.4,10884081,3.77
University of Cape Town,Humanities,2019,1451,86.53,13.38,11066328,3.98
University of Johannesburg,Humanities,2023,2982,71.96,28.52,1758244,3.62
Wits University,Education,2018,397,90.85,7.87,18570704,3.03
Rhodes University,Education,2016,2680,68.08,21.34,12223713,3.74
University of Pretoria,Law,2016,2113,85.07,11.55,6439494,2.61
Stellenbosch University,Education,2023,2435,93.61,13.16,11352927,3.06
University of Johannesburg,Health Science,2017,742,88.64,16.9,19959595,2.92
University of Johannesburg,Humanities,2021,1689,85.51,25.28,17910243,2.5
University of Johannesburg,Engineering,2015,1463,52.96,18.66,10575008,3.15
University of Cape Town,Engineering,2019,1099,83.88,27.14,4498703,2.35
University of Pretoria,Health Science,2015,1192,92.17,28.77,8083573,3.66
University of Pretoria,Education,2017,2193,81.18,25.17,17797498,2.02
University of KwaZulu-Natal,Law,2021,921,83.74,13.76,4019491,2.65
University of Cape Town,Law,2021,1851,82.99,16.19,3925103,3.01
University of KwaZulu-Natal,Humanities,2017,2064,71.25,29.43,19581154,3.2
Wits University,Health Science,2020,2558,76.12,29.18,9520766,2.97
Stellenbosch University,Engineering,2016,686,61.72,19.77,15240982,2.24
Rhodes University,Education,2023,2055,85.27,19.35,9372582,2.39
Wits University,Engineering,2021,2294,51.76,27.4,13849779,2.88
University of KwaZulu-Natal,Law,2024,1695,77.93,9.53,13648318,3.14
Wits University,Humanities,2024,2672,64.02,10.43,12139224,2.54
Wits University,Health Science,2020,2331,74.55,29.53,9292848,2.76
University of Johannesburg,Humanities,2021,2458,54.32,13.38,2542964,2.74
University of KwaZulu-Natal,Education,2023,1749,66.36,11.3,7322966,3.16
University of Cape Town,Education,2024,2851,62.19,24.83,12966589,2.81
University of Johannesburg,Education,2020,2962,55.31,11.68,6529620,3.06
University of Cape Town,Health Science,2017,2420,76.01,12.38,9882844,3.11
University of KwaZulu-Natal,Engineering,2017,193,90.67,23.54,14600692,2.26
University of Cape Town,Health Science,2024,1402,51.6,14.12,10280250,3.29
University of Pretoria,Engineering,2021,2552,92.4,6.02,9151441,2.06
University of Johannesburg,Education,2015,937,73.87,15.82,15984444,2.84
University of KwaZulu-Natal,Engineering,2020,2663,79.92,6.61,14831184,2.3
University of Johannesburg,Humanities,2015,958,60.68,25.82,2837799,2.17
University of Cape Town,Law,2016,907,56.75,20.31,18756653,2.22
Stellenbosch University,Law,2018,181,90.65,29.28,18670455,3.5
University of Cape Town,Health Science,2017,2538,77.72,16.51,18231530,3.49
University of Cape Town,Health Science,2023,2632,61.39,19.32,17297955,3.23
Wits University,Engineering,2024,502,72.42,17.44,3696643,3.25
University of Pretoria,Humanities,2024,1378,50.75,19.32,12625982,2.17
University of Cape Town,Education,2021,1098,62.37,28.26,15595816,3.86
Wits University,Health Science,2020,270,67.67,29.03,10593700,2.66
University of KwaZulu-Natal,Engineering,2021,476,74.13,16.7,14219818,2.74
University of KwaZulu-Natal,Humanities,2017,1783,86.3,15.31,13679191,3.09
Rhodes University,Humanities,2021,1092,58.39,18.38,3415449,2.62
Wits University,Law,2019,1504,51.95,8.12,16130136,2.89
Wits University,Law,2023,1150,66.25,18.6,10976055,2.98
University of Cape Town,Engineering,2020,2519,72.48,15.31,16766085,2.48
Wits University,Engineering,2022,421,86.18,19.52,10882614,3.48
Wits University,Engineering,2016,2657,51.83,20.53,8591483,2.68
Rhodes University,Engineering,2016,2251,88.2,29.58,16267721,2.74
University of Cape Town,Humanities,2016,1911,86.22,5.29,19988411,3.55
Rhodes University,Law,2020,564,82.82,20.78,18344640,2.1
Stellenbosch University,Health Science,2019,1448,91.67,16.42,13567902,2.58
University of KwaZulu-Natal,Education,2019,328,53.35,19.97,17448888,2.85
University of Johannesburg,Education,2015,2418,90.31,15.38,16298254,2.68
University of Johannesburg,Law,2023,2054,77.06,13.27,10021217,3.0
Wits University,Education,2020,541,70.88,15.85,8233137,2.73
Rhodes University,Humanities,2019,1498,81.77,11.29,16728047,3.71
Stellenbosch University,Humanities,2023,1853,78.58,13.89,5679780,3.63
University of Cape Town,Humanities,2019,2944,50.72,8.46,14365480,2.29
University of Cape Town,Health Science,2018,959,53.49,21.53,6331603,2.99
Rhodes University,Health Science,2024,719,91.53,19.74,5994644,2.41
Rhodes University,Engineering,2016,1132,92.61,23.62,14370821,2.44
University of Pretoria,Law,2023,999,54.44,9.67,16488835,2.06
University of KwaZulu-Natal,Law,2018,858,74.25,17.63,1794888,2.02
Rhodes University,Law,2020,1846,86.53,23.53,5161981,2.8
University of Pretoria,Education,2020,671,58.02,24.87,19135323,3.92
University of Pretoria,Engineering,2016,1598,51.21,10.85,2733378,2.38
University of Cape Town,Humanities,2016,1399,81.0,27.46,13486130,3.69
University of Pretoria,Law,2023,2675,76.73,25.44,9835114,2.66
University of Pretoria,Engineering,2019,2260,75.05,11.94,19965935,3.48
University of Pretoria,Engineering,2018,1159,61.06,13.06,19809786,2.08
University of Pretoria,Humanities,2019,2899,75.12,7.26,15114061,3.78
University of Cape Town,Health Science,2023,1506,71.16,23.35,18181668,3.47
University of Pretoria,Engineering,2015,988,83.05,26.18,19304441,3.71
Wits University,Education,2019,1880,93.77,22.36,11577768,2.97
University of KwaZulu-Natal,Humanities,2016,186,78.02,13.41,1289972,2.32
University of KwaZulu-Natal,Humanities,2020,2374,74.38,7.27,663788,2.08
University of Cape Town,Engineering,2023,2582,69.98,28.07,7275435,3.19
Rhodes University,Humanities,2018,2660,69.73,12.87,8635555,3.96
University of Cape Town,Engineering,2018,1785,70.77,10.99,896152,2.43
University of Johannesburg,Law,2020,1153,64.14,5.06,16136875,3.64
Rhodes University,Health Science,2018,186,75.85,16.33,13972377,3.34
Wits University,Law,2015,1160,83.71,25.67,2731760,3.97
University of Cape Town,Engineering,2024,2838,81.28,27.6,1842869,2.26
University of KwaZulu-Natal,Education,2019,967,80.18,27.99,7392600,3.32
University of Pretoria,Engineering,2018,1506,93.33,24.6,5995598,3.15
University of Johannesburg,Engineering,2019,2901,89.1,16.48,2422065,2.47
Stellenbosch University,Engineering,2016,921,73.2,13.55,14668933,3.9
Stellenbosch University,Law,2021,281,61.01,8.86,19170781,2.04
University of Cape Town,Health Science,2022,2243,71.39,23.65,15477310,2.13
Rhodes University,Humanities,2020,1010,72.79,7.72,17690329,2.44
University of Pretoria,Education,2023,2351,92.85,9.16,6149969,2.79
University of KwaZulu-Natal,Humanities,2018,1254,62.11,26.51,19649088,2.68
University of KwaZulu-Natal,Education,2016,776,81.92,14.75,15887250,3.65
Stellenbosch University,Law,2015,1568,51.15,11.32,1311939,2.35
Rhodes University,Engineering,2023,2975,59.37,23.67,7864833,3.5
Stellenbosch University,Humanities,2023,1903,84.66,26.63,15019182,3.89
University of Cape Town,Law,2015,1865,86.84,23.3,17546618,3.76
University of Pretoria,Health Science,2022,1817,75.05,9.15,7144992,2.89
University of KwaZulu-Natal,Health Science,2019,1967,75.57,20.77,8483943,2.81
University of Johannesburg,Education,2019,2856,84.42,27.92,2895560,2.25
University of Pretoria,Education,2023,2425,83.31,25.52,8418040,3.46
Stellenbosch University,Health Science,2015,1848,75.18,26.56,17019224,3.9
University of Pretoria,Engineering,2015,2280,74.37,26.87,15225828,3.73
University of KwaZulu-Natal,Law,2022,2227,75.53,25.44,8714226,3.72
University of Pretoria,Education,2023,866,74.81,10.35,10750063,3.81
University of Johannesburg,Education,2024,331,85.02,15.44,13103380,3.32
Rhodes University,Health Science,2022,1851,90.12,18.38,10249535,2.3
Rhodes University,Health Science,2022,1415,88.57,5.39,15316943,2.91
Stellenbosch University,Health Science,2021,361,71.68,24.87,11440785,3.65
University of Johannesburg,Education,2019,1333,80.22,22.65,8716144,3.01
Rhodes University,Humanities,2021,853,63.93,11.78,9460929,3.95
Wits University,Health Science,2021,1448,62.89,18.67,13808941,2.21
Stellenbosch University,Humanities,2024,2306,94.52,13.96,6366609,3.87
Rhodes University,Engineering,2022,2238,85.07,5.83,5041778,3.69
University of Pretoria,Health Science,2024,889,67.04,21.75,6241240,3.22
Rhodes University,Engineering,2018,311,82.44,16.81,10738799,3.96
University of Johannesburg,Health Science,2020,2448,63.98,6.74,19469779,2.37
Rhodes University,Law,2019,1964,52.45,13.06,13722662,3.78
Stellenbosch University,Engineering,2015,1414,53.35,25.92,14910262,2.23
University of Pretoria,Law,2021,1792,78.82,24.87,12729181,2.8
University of KwaZulu-Natal,Education,2023,1373,70.97,12.51,5821306,3.63
University of Johannesburg,Law,2018,2312,58.0,28.3,9627758,3.1
Wits University,Health Science,2021,1936,85.87,23.88,8558733,3.26
University of Johannesburg,Humanities,2016,1040,75.28,15.16,6743165,3.19
University of Pretoria,Education,2024,1275,76.39,19.87,6624630,2.3
University of Pretoria,Education,2023,2454,91.22,23.14,8822002,2.49
University of Pretoria,Education,2020,1009,62.65,11.48,4162881,3.11
University of Johannesburg,Engineering,2017,813,66.56,28.76,19109314,3.81
Wits University,Health Science,2022,179,93.11,28.84,2557713,2.38
Stellenbosch University,Health Science,2016,671,80.97,17.32,3494910,3.21
University of Pretoria,Education,2024,1672,70.81,9.66,19349940,3.67
Rhodes University,Engineering,2024,757,66.23,28.05,954593,3.29
Stellenbosch University,Engineering,2015,1155,80.54,5.84,2261797,2.83
Rhodes University,Health Science,2020,641,64.47,27.07,14429673,3.4
University of Cape Town,Law,2017,2485,76.23,18.27,12416217,2.17
University of Pretoria,Education,2024,569,77.89,25.74,9225257,3.79
Rhodes University,Health Science,2017,2422,55.63,6.7,8695247,2.36
Wits University,Health Science,2021,1336,86.19,5.68,10598732,2.54
Wits University,Humanities,2018,835,65.36,20.96,16506722,3.71
Stellenbosch University,Law,2024,1597,56.83,28.46,10855425,2.17
University of KwaZulu-Natal,Law,2019,633,82.7,28.41,1662365,3.23
University of Pretoria,Education,2017,684,61.59,14.64,15354392,2.55
University of Johannesburg,Health Science,2020,2216,61.18,24.23,2160624,3.39
Rhodes University,Engineering,2024,2873,78.17,16.71,3935217,3.84
University of Pretoria,Law,2020,403,71.69,12.56,8072062,3.74
Wits University,Humanities,2019,2395,60.98,8.17,16979240,2.7
University of Pretoria,Education,2019,2026,71.0,21.93,6270493,3.15
University of Johannesburg,Engineering,2024,2839,70.78,10.16,5528700,2.69
Wits University,Law,2017,1404,84.71,18.53,16656723,2.32
Stellenbosch University,Health Science,2019,189,53.32,12.95,13063555,3.94
Wits University,Humanities,2024,1990,94.61,26.68,5001268,2.46
Stellenbosch University,Humanities,2018,186,80.98,14.54,10581553,2.92
University of Johannesburg,Humanities,2024,1299,52.55,16.62,14067569,3.38
University of Johannesburg,Education,2021,285,53.85,24.54,3672604,3.6
University of Pretoria,Humanities,2015,991,64.21,17.73,14015358,2.4
Wits University,Education,2018,1783,52.73,19.09,2556885,3.82
University of Cape Town,Engineering,2022,1814,86.3,12.29,19425862,3.1
University of KwaZulu-Natal,Engineering,2015,111,59.94,13.52,5624686,2.88
Wits University,Health Science,2022,1882,75.2,13.86,11675218,3.6
Rhodes University,Humanities,2024,625,94.23,7.09,9826045,2.28
University of KwaZulu-Natal,Health Science,2020,2062,67.19,12.28,18642036,2.72
University of Pretoria,Education,2024,1122,57.02,9.31,19699093,3.53
University of Pretoria,Engineering,2021,2526,75.69,19.16,10317939,3.97
University of Pretoria,Health Science,2020,1030,85.28,5.3,12040388,2.52
Rhodes University,Law,2022,2941,66.5,29.75,7140007,2.97
University of Pretoria,Humanities,2016,2449,59.78,9.27,15043823,3.47
University of Cape Town,Engineering,2017,1317,77.35,14.39,11220310,2.67
University of Johannesburg,Law,2021,290,87.58,28.34,13443403,3.33
Rhodes University,Humanities,2015,300,71.5,24.13,18762715,3.3
Rhodes University,Law,2015,1353,79.35,24.21,1460334,3.44
University of Pretoria,Engineering,2016,1674,58.75,28.71,4906241,2.74
University of Cape Town,Health Science,2017,612,52.25,27.25,7913942,3.81
Wits University,Health Science,2019,2688,61.68,27.14,5241143,2.68
University of KwaZulu-Natal,Health Science,2020,1584,82.8,12.7,10494235,2.66
University of KwaZulu-Natal,Education,2015,2307,62.69,13.53,1053917,3.39
University of Johannesburg,Humanities,2024,921,83.17,24.82,13431190,2.5
University of Johannesburg,Education,2018,1478,93.52,14.34,6031160,2.53
University of Johannesburg,Education,2017,737,84.34,23.9,16210597,2.93
Wits University,Humanities,2019,101,64.95,24.51,15236533,3.76
Rhodes University,Health Science,2023,1300,50.58,8.11,9972185,2.04
University of Pretoria,Law,2015,2270,90.66,13.83,4743022,2.8
Rhodes University,Law,2023,2689,51.07,17.05,6956597,2.32
Stellenbosch University,Engineering,2020,2502,88.26,6.42,14313031,2.52
Stellenbosch University,Humanities,2017,2512,74.06,19.8,10403719,2.62
University of Johannesburg,Health Science,2018,909,60.66,6.24,851310,2.54
University of Cape Town,Humanities,2017,2144,72.98,27.21,2259889,3.87
University of Cape Town,Engineering,2020,813,74.35,12.36,13754152,3.94
University of Cape Town,Health Science,2020,2860,71.78,23.54,15826064,2.1
University of KwaZulu-Natal,Humanities,2022,550,53.42,8.14,14663883,2.17
University of Johannesburg,Humanities,2022,898,73.61,5.41,4279353,3.76
Stellenbosch University,Education,2024,2950,83.71,5.25,5904513,3.07
University of Cape Town,Health Science,2018,2900,85.84,7.47,9775619,2.98
Wits University,Law,2022,2909,67.9,8.45,14671713,3.33
Wits University,Engineering,2023,2376,80.76,15.05,4976307,3.17
Rhodes University,Engineering,2020,2054,57.99,15.67,823289,2.94
University of Cape Town,Law,2021,1199,51.3,22.04,14136354,2.8
University of Johannesburg,Law,2021,1019,80.5,18.03,12331981,3.07
Rhodes University,Education,2023,1853,86.01,8.79,3713231,3.8
University of Pretoria,Engineering,2019,853,80.11,11.66,9283450,2.65
Stellenbosch University,Health Science,2022,2947,50.26,10.64,1910729,3.72
Wits University,Humanities,2021,2723,61.85,9.78,12715551,2.15
University of Cape Town,Engineering,2021,1485,84.02,28.28,8013909,3.35
University of Johannesburg,Education,2022,1796,80.18,21.63,4761594,2.51
Stellenbosch University,Humanities,2019,1161,75.6,19.74,1978609,3.15
University of Pretoria,Humanities,2019,1047,69.03,24.5,7949608,2.85
University of Cape Town,Health Science,2023,1133,90.47,10.1,4623571,2.47
University of Johannesburg,Law,2024,2764,51.41,29.59,3897029,3.0
University of Pretoria,Law,2023,1779,80.88,19.52,17875487,2.79
Stellenbosch University,Education,2016,1064,53.84,18.98,9001846,2.7
University of Cape Town,Law,2018,1214,67.53,7.56,6809065,2.96
Stellenbosch University,Law,2019,2578,90.28,21.32,18110907,3.31
University of KwaZulu-Natal,Health Science,2021,1386,55.54,16.93,16610620,2.43
Rhodes University,Humanities,2018,450,71.52,25.12,3746480,2.34
Wits University,Law,2019,1270,54.01,27.24,11428674,3.6
University of Pretoria,Education,2023,1885,51.86,5.48,16992566,3.34
Wits University,Humanities,2022,1214,72.15,13.24,12829608,2.04
University of Cape Town,Engineering,2017,1518,75.76,28.24,19430733,2.8
University of Pretoria,Humanities,2015,912,81.23,9.32,11217368,2.84
University of KwaZulu-Natal,Health Science,2016,536,77.94,17.68,5153081,3.43
University of Pretoria,Humanities,2017,2397,60.79,8.58,7803392,2.96
Stellenbosch University,Health Science,2022,2589,69.83,29.06,7947988,3.78
University of Cape Town,Humanities,2018,2963,69.37,10.72,5193499,3.5
University of Cape Town,Law,2020,2026,83.11,17.78,10889408,2.78
Wits University,Law,2015,2767,72.05,24.3,577612,3.18
University of KwaZulu-Natal,Law,2021,1829,61.97,10.42,785765,3.74
University of Cape Town,Health Science,2016,1587,57.27,13.72,3134439,3.62
Rhodes University,Humanities,2017,1659,69.88,18.75,2637636,3.03
University of Cape Town,Humanities,2018,787,74.11,19.37,2409048,2.57
Stellenbosch University,Education,2017,2711,78.44,16.01,16361999,3.03
Rhodes University,Engineering,2015,2145,57.76,23.43,13870854,3.07
University of KwaZulu-Natal,Education,2018,891,53.64,25.28,10762640,2.12
University of KwaZulu-Natal,Education,2023,2427,73.17,14.41,14904558,2.75
University of Johannesburg,Health Science,2019,726,55.82,13.07,4084709,2.94
Wits University,Education,2022,1459,79.24,7.02,5072607,2.49
University of Johannesburg,Education,2017,1615,93.11,5.28,18346667,2.05
University of KwaZulu-Natal,Engineering,2024,1032,67.2,29.83,13275306,2.0
University of KwaZulu-Natal,Engineering,2021,1650,80.9,5.42,16966367,3.44
University of Johannesburg,Health Science,2018,2883,63.24,11.96,1478794,2.85
University of Johannesburg,Law,2024,2763,91.66,29.01,975040,3.38
Rhodes University,Engineering,2015,772,50.8,28.71,19518176,2.25
Rhodes University,Humanities,2019,1586,91.66,5.23,1969670,3.36
University of Pretoria,Law,2018,161,86.7,19.62,3263568,3.02
Wits University,Engineering,2020,2890,74.47,24.2,12141645,2.54
University of Johannesburg,Humanities,2023,2678,55.3,25.94,6317703,3.59
Wits University,Humanities,2017,249,74.97,8.72,1261139,3.56
University of KwaZulu-Natal,Law,2019,298,89.15,26.07,5910278,3.99
Wits University,Health Science,2018,780,50.63,21.18,17586739,3.24
University of KwaZulu-Natal,Law,2021,380,80.38,27.91,11269939,3.65
Rhodes University,Law,2020,2370,89.98,27.88,4318040,3.61
Wits University,Education,2023,1204,82.12,10.0,13259512,3.9
University of Cape Town,Law,2018,2744,61.49,27.6,3118845,3.49
University of Cape Town,Education,2022,1434,51.19,9.49,6967503,3.39
University of Cape Town,Health Science,2017,1748,71.22,18.76,8264610,2.78
University of KwaZulu-Natal,Health Science,2019,2142,66.89,20.53,18438926,2.63
Wits University,Humanities,2023,974,61.29,27.78,14384615,2.82
Wits University,Law,2021,208,66.9,24.2,14030904,2.39
Rhodes University,Humanities,2024,534,50.94,29.95,4640646,3.2
University of Cape Town,Law,2018,2297,67.23,6.15,16323540,2.18
University of Johannesburg,Humanities,2020,2026,57.62,21.14,11422161,3.65
University of KwaZulu-Natal,Engineering,2023,1258,76.33,22.2,7448680,3.07
Stellenbosch University,Education,2024,2684,88.74,21.9,12813385,3.5
University of Pretoria,Law,2019,662,75.13,5.07,1497920,3.05
University of Pretoria,Engineering,2022,862,88.67,8.61,18729827,3.01
University of Cape Town,Humanities,2019,1623,72.47,19.11,3677844,3.34
Stellenbosch University,Health Science,2022,154,85.62,29.84,6458314,2.02
University of KwaZulu-Natal,Law,2017,635,81.71,23.24,1095596,3.31
Wits University,Engineering,2018,779,75.43,22.15,10843490,2.38
University of KwaZulu-Natal,Education,2022,1212,53.31,11.81,14237490,3.64
University of Pretoria,Engineering,2023,2888,63.51,18.0,10944046,2.61
University of Cape Town,Engineering,2020,2467,52.53,9.49,10545680,3.41
University of Cape Town,Engineering,2023,1548,79.42,9.81,1415267,3.03
University of KwaZulu-Natal,Humanities,2021,999,61.52,18.13,12425615,2.26
University of Johannesburg,Education,2017,1747,82.46,23.07,3369012,2.63
University of Pretoria,Humanities,2024,1729,52.45,10.39,14971480,2.76
Wits University,Law,2022,2487,50.6,16.29,17524250,2.57
Wits University,Law,2018,1956,62.16,24.58,8459600,2.49
Stellenbosch University,Education,2015,2746,53.42,20.33,15765825,2.57
University of KwaZulu-Natal,Law,2015,1285,70.71,24.74,14302881,3.32
University of Pretoria,Health Science,2022,385,85.34,10.61,17288746,3.37
Rhodes University,Education,2016,159,74.68,18.58,8115327,3.84
University of Pretoria,Education,2021,936,56.85,27.79,11838884,2.51
Rhodes University,Humanities,2017,711,71.8,14.54,16471502,3.57
University of Cape Town,Humanities,2018,2556,60.58,5.75,12788793,2.32
Rhodes University,Engineering,2020,1558,81.69,18.04,7753422,3.17
University of Pretoria,Humanities,2018,1723,56.98,8.71,5516010,3.03
Rhodes University,Engineering,2024,196,50.63,7.49,4178328,3.89
Rhodes University,Humanities,2017,1721,56.13,16.88,11066434,3.09
Rhodes University,Health Science,2022,2507,57.63,25.7,17495825,3.77
University of Cape Town,Law,2020,508,50.36,13.07,18745156,3.07
University of Pretoria,Engineering,2016,2751,60.24,24.21,986674,3.57
University of KwaZulu-Natal,Health Science,2020,2426,68.38,13.67,1588583,2.75
University of Johannesburg,Law,2022,2632,74.32,24.66,12209659,2.62
University of KwaZulu-Natal,Engineering,2017,1704,62.54,23.84,17628494,2.79
University of KwaZulu-Natal,Humanities,2019,912,80.58,23.85,12986394,3.13
University of Cape Town,Law,2019,2216,50.65,20.16,3797950,2.03
University of KwaZulu-Natal,Engineering,2019,1446,79.22,23.43,2964247,2.42
University of Pretoria,Engineering,2015,1345,59.24,22.42,5637208,2.1
University of Cape Town,Health Science,2020,1139,52.73,10.99,17411175,2.53
University of Cape Town,Health Science,2018,2898,52.05,17.82,1088901,2.82
Stellenbosch University,Law,2018,2198,93.38,23.3,19257266,2.25
University of Johannesburg,Health Science,2016,262,60.16,19.41,11475261,2.62
University of KwaZulu-Natal,Humanities,2016,544,77.49,9.97,4693839,3.0
University of Johannesburg,Engineering,2021,1344,91.03,12.66,11807863,3.3
University of Johannesburg,Humanities,2017,341,89.93,11.97,3315503,3.42
University of Pretoria,Health Science,2021,1677,53.22,28.3,18961709,3.62
Wits University,Education,2022,2851,80.07,23.45,8400934,2.12
Stellenbosch University,Engineering,2015,2474,75.22,28.04,12225071,2.73
University of KwaZulu-Natal,Health Science,2022,941,92.11,29.62,4634893,3.12
University of Cape Town,Health Science,2019,1847,62.03,6.68,13884965,2.86
Stellenbosch University,Humanities,2020,2261,94.31,24.85,2761538,3.89
Stellenbosch University,Humanities,2024,2654,57.21,13.71,18656618,3.48
University of KwaZulu-Natal,Engineering,2017,586,61.93,24.55,14322045,2.57
University of Cape Town,Law,2022,579,89.27,5.35,10655952,3.08
University of Pretoria,Engineering,2019,552,53.31,6.65,5486457,2.66
University of KwaZulu-Natal,Law,2016,463,81.36,26.77,17762670,2.67
University of Pretoria,Education,2019,737,74.65,8.04,1455558,3.28
University of Johannesburg,Education,2024,1044,64.29,16.86,10116895,3.58
University of Cape Town,Health Science,2021,2178,53.32,20.8,15887678,2.01
Rhodes University,Humanities,2021,2011,55.5,21.45,13683972,3.02
University of Johannesburg,Education,2018,780,72.17,23.55,5724519,2.06
University of Johannesburg,Education,2017,949,90.4,7.24,7697008,2.17
University of Pretoria,Engineering,2018,753,72.87,6.1,11980076,3.43
University of Johannesburg,Health Science,2023,1323,83.17,19.03,4843238,3.78
Wits University,Health Science,2015,882,70.53,9.26,1542300,2.04
University of Johannesburg,Education,2016,1609,52.36,6.48,10178345,3.42
University of KwaZulu-Natal,Humanities,2016,1912,61.73,12.09,15983215,3.3
Wits University,Education,2018,955,87.54,22.48,3901997,2.83
Stellenbosch University,Health Science,2020,2108,68.43,23.16,3805101,3.32
University of Johannesburg,Education,2015,977,83.5,18.03,1592502,2.88
Wits University,Education,2024,1556,77.7,20.33,5187199,2.6
Rhodes University,Law,2018,2139,71.9,26.63,14928342,3.27
Rhodes University,Education,2019,1584,94.6,29.92,13286275,3.6
University of KwaZulu-Natal,Education,2018,2301,71.04,29.51,13591489,2.88
Stellenbosch University,Law,2017,1936,51.43,24.85,12493448,3.44
University of Pretoria,Engineering,2015,1541,75.69,9.71,9353345,2.4
Rhodes University,Health Science,2022,2135,94.42,19.42,3155864,2.42
